,Sample ID,Source plate,Source well,Destination plate,Destination well,Transfer Volume,Source Plate Type
0,C0001_10.0,PB000164,A1,PB000146,A1,2.5,384PP_DMSO2
2,C0002_10.0,PB000164,A2,PB000146,A2,20.0,384PP_DMSO2
4,C0003_10.0,PB000164,A3,PB000146,A3,50.0,384PP_DMSO2
6,C0004_10.0,PB000164,A4,PB000146,A4,100.0,384PP_DMSO2
8,C0005_10.0,PB000164,A5,PB000146,A5,200.0,384PP_DMSO2
10,C0006_10.0,PB000164,A6,PB000146,A6,2.5,384PP_DMSO2
12,C0007_10.0,PB000164,A7,PB000146,A7,20.0,384PP_DMSO2
14,C0008_10.0,PB000164,A8,PB000146,A8,50.0,384PP_DMSO2
16,C0009_10.0,PB000164,A9,PB000146,A9,100.0,384PP_DMSO2
18,C0010_10.0,PB000164,A10,PB000146,A10,200.0,384PP_DMSO2
20,C0011_10.0,PB000164,A11,PB000146,A11,2.5,384PP_DMSO2
22,C0012_10.0,PB000164,A12,PB000146,A12,20.0,384PP_DMSO2
24,C0013_10.0,PB000164,A13,PB000146,A13,50.0,384PP_DMSO2
26,C0014_10.0,PB000164,A14,PB000146,A14,100.0,384PP_DMSO2
28,C0015_10.0,PB000164,A15,PB000146,A15,200.0,384PP_DMSO2
30,C0016_10.0,PB000164,A16,PB000146,A16,2.5,384PP_DMSO2
32,C0017_10.0,PB000164,A17,PB000146,A17,20.0,384PP_DMSO2
34,C0018_10.0,PB000164,A18,PB000146,A18,50.0,384PP_DMSO2
36,C0019_10.0,PB000164,A19,PB000146,A19,100.0,384PP_DMSO2
38,C0020_10.0,PB000164,A20,PB000146,A20,200.0,384PP_DMSO2
40,C0021_10.0,PB000164,A21,PB000146,A21,2.5,384PP_DMSO2
42,C0022_10.0,PB000164,A22,PB000146,A22,20.0,384PP_DMSO2
44,C0023_10.0,PB000164,A23,PB000146,A23,50.0,384PP_DMSO2
46,C0024_10.0,PB000164,A24,PB000146,A24,100.0,384PP_DMSO2
48,C0025_10.0,PB000164,B1,PB000146,B1,200.0,384PP_DMSO2
50,C0026_10.0,PB000164,B2,PB000146,B2,2.5,384PP_DMSO2
52,C0027_10.0,PB000164,B3,PB000146,B3,20.0,384PP_DMSO2
54,C0028_10.0,PB000164,B4,PB000146,B4,50.0,384PP_DMSO2
56,C0029_10.0,PB000164,B5,PB000146,B5,100.0,384PP_DMSO2
58,C0030_10.0,PB000164,B6,PB000146,B6,200.0,384PP_DMSO2
60,C0031_10.0,PB000164,B7,PB000146,B7,2.5,384PP_DMSO2
62,C0032_10.0,PB000164,B8,PB000146,B8,20.0,384PP_DMSO2
64,C0033_10.0,PB000164,B9,PB000146,B9,50.0,384PP_DMSO2
66,C0034_10.0,PB000164,B10,PB000146,B10,100.0,384PP_DMSO2
68,C0035_10.0,PB000164,B11,PB000146,B11,200.0,384PP_DMSO2
70,C0036_10.0,PB000164,B12,PB000146,B12,2.5,384PP_DMSO2
72,C0037_10.0,PB000164,B13,PB000146,B13,20.0,384PP_DMSO2
74,C0038_10.0,PB000164,B14,PB000146,B14,50.0,384PP_DMSO2
76,C0039_10.0,PB000164,B15,PB000146,B15,100.0,384PP_DMSO2
78,C0040_10.0,PB000164,B16,PB000146,B16,200.0,384PP_DMSO2
80,C0041_10.0,PB000164,B17,PB000146,B17,2.5,384PP_DMSO2
82,C0042_10.0,PB000164,B18,PB000146,B18,20.0,384PP_DMSO2
84,C0043_10.0,PB000164,B19,PB000146,B19,50.0,384PP_DMSO2
86,C0044_10.0,PB000164,B20,PB000146,B20,100.0,384PP_DMSO2
88,C0045_10.0,PB000164,B21,PB000146,B21,200.0,384PP_DMSO2
90,C0046_10.0,PB000164,B22,PB000146,B22,2.5,384PP_DMSO2
92,C0047_10.0,PB000164,B23,PB000146,B23,20.0,384PP_DMSO2
94,C0048_10.0,PB000164,B24,PB000146,B24,50.0,384PP_DMSO2
96,C0049_10.0,PB000164,C1,PB000146,C1,100.0,384PP_DMSO2
98,C0050_10.0,PB000164,C2,PB000146,C2,200.0,384PP_DMSO2
100,C0051_10.0,PB000164,C3,PB000146,C3,2.5,384PP_DMSO2
102,C0052_10.0,PB000164,C4,PB000146,C4,20.0,384PP_DMSO2
104,C0053_10.0,PB000164,C5,PB000146,C5,50.0,384PP_DMSO2
106,C0054_10.0,PB000164,C6,PB000146,C6,100.0,384PP_DMSO2
108,C0055_10.0,PB000164,C7,PB000146,C7,200.0,384PP_DMSO2
110,C0056_10.0,PB000164,C8,PB000146,C8,2.5,384PP_DMSO2
112,C0057_10.0,PB000164,C9,PB000146,C9,20.0,384PP_DMSO2
114,C0058_10.0,PB000164,C10,PB000146,C10,50.0,384PP_DMSO2
116,C0059_10.0,PB000164,C11,PB000146,C11,100.0,384PP_DMSO2
118,C0060_10.0,PB000164,C12,PB000146,C12,200.0,384PP_DMSO2
120,C0061_10.0,PB000164,C13,PB000146,C13,2.5,384PP_DMSO2
122,C0062_10.0,PB000164,C14,PB000146,C14,20.0,384PP_DMSO2
124,C0063_10.0,PB000164,C15,PB000146,C15,50.0,384PP_DMSO2
126,C0064_10.0,PB000164,C16,PB000146,C16,100.0,384PP_DMSO2
128,C0065_10.0,PB000164,C17,PB000146,C17,200.0,384PP_DMSO2
130,C0066_10.0,PB000164,C18,PB000146,C18,2.5,384PP_DMSO2
132,C0067_10.0,PB000164,C19,PB000146,C19,20.0,384PP_DMSO2
134,C0068_10.0,PB000164,C20,PB000146,C20,50.0,384PP_DMSO2
136,C0069_10.0,PB000164,C21,PB000146,C21,100.0,384PP_DMSO2
138,C0070_10.0,PB000164,C22,PB000146,C22,200.0,384PP_DMSO2
140,C0071_10.0,PB000164,C23,PB000146,C23,2.5,384PP_DMSO2
142,C0072_10.0,PB000164,C24,PB000146,C24,20.0,384PP_DMSO2
144,C0073_10.0,PB000164,D1,PB000146,D1,50.0,384PP_DMSO2
146,C0074_10.0,PB000164,D2,PB000146,D2,100.0,384PP_DMSO2
148,C0075_10.0,PB000164,D3,PB000146,D3,200.0,384PP_DMSO2
150,C0076_10.0,PB000164,D4,PB000146,D4,2.5,384PP_DMSO2
152,C0077_10.0,PB000164,D5,PB000146,D5,20.0,384PP_DMSO2
154,C0078_10.0,PB000164,D6,PB000146,D6,50.0,384PP_DMSO2
156,C0079_10.0,PB000164,D7,PB000146,D7,100.0,384PP_DMSO2
158,C0080_10.0,PB000164,D8,PB000146,D8,200.0,384PP_DMSO2
160,C0081_10.0,PB000164,D9,PB000146,D9,2.5,384PP_DMSO2
162,C0082_10.0,PB000164,D10,PB000146,D10,20.0,384PP_DMSO2
164,C0083_10.0,PB000164,D11,PB000146,D11,50.0,384PP_DMSO2
